time_sec,mean_best_value,valid_runs
0.5,553.6,100
1.0,548.56,100
1.5,546.67,100
2.0,545.52,100
2.5,544.63,100
3.0,544.51,100
3.5,544.33,100
4.0,544.31,100
4.5,544.1,100
5.0,543.97,100
5.5,543.42,100
6.0,543.29,100
6.5,543.19,100
7.0,542.98,100
7.5,542.98,100
8.0,542.84,100
8.5,542.82,100
9.0,542.82,100
9.5,542.81,100
10.0,542.8,100
10.5,542.78,100
11.0,542.78,100
11.5,542.75,100
12.0,542.72,100
12.5,542.72,100
13.0,542.72,100
13.5,542.72,100
14.0,542.72,100
14.5,542.72,100
15.0,542.72,100
15.5,542.72,100
16.0,542.72,100
16.5,542.66,100
17.0,542.66,100
17.5,542.66,100
18.0,542.66,100
18.5,542.66,100
19.0,542.66,100
19.5,542.66,100
20.0,542.66,100
